clientid_cr,clmbuserid_cr,conversiontime_cr,imprid_cr,adslotdimid_cr,algo_cr,audiences_cr,clickbid_cr,geodimid_cr,ip_cr,itemcolumbiaid_cr,itemid_cr,position_cr,pubclientid_cr,refurl_cr,siteId_cr,templateid_cr,goalid_cr,time_cr,adLogType_cr,v_cr,allAudiences_cr,pricingtype_cr,osId_cr,browserId_cr,cityId_cr,stateId_cr,modelDimId_cr,lookUpFrom_cr,connTypeDimId_cr,ispDimId_cr,countryDimId_cr,goalTypeId_cr,conversionDurationInMillis_cr,impressionTimeInMillis_cr,clickTimeInMillis_cr,osVerDimId_cr,uuidSource_cr,geoGrpDimId_cr,stateGrpDimId_cr,deviceId_cr,uvh_cr,uv_cr,platformId_cr,sdkVersion_cr,usrClusterId_cr,cityGrpDimId_cr,siteClusterIds_cr,refClusterId_cr,paid_cr,spend_cr,attributionType_cr,conversionid_cr,optimize_on_cr,bundleId_cr,conversion_fraud
75694,31629cd0-0b34-460f-aa61-80c3234e1225-1sjfw,1.62E+12,01649076-c77f-4d70-afc8-213535427147-1sjd4,321300,38,"8gw,o3b",2.869315936,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2Fjob-search.html,34,4140,6384,1.62E+12,2,1,"7dn,6hs,35g,ome,omf,l32,nqo,2ws,qqo,lo4,oos,2w7,oou,lmv,apc,5cc,p1u,p1x,5o2,o6b,43y,75y,ovd,oxe,k8i,ove,o6j,ovi,o6l,30b,o6n,58k,8gw,oxr,ozs,ovr,o20,ovt,761,on4,9nj,n3b,mh8,6hp,o3b",16,196058,129639,436,1806,202038,2,264496,280429,144,10,2332,1.62E+12,1.62E+12,199452,1,348011,348022,,,,,,333495,348007,,,,,,,,,TRUE
75694,4c98f114-c34c-48f4-84d6-50fc8e9b6d65-10wgg,1.62E+12,f84d83b9-b757-4f97-9813-34f8dcc57cc5-1sjfw,129239,38,"8kv,2vk,8gw,2vl",2.79,144,XXX.XXX.XXX.XXX,5488773,49504157,1,15240,https%3A%2F%2Fwww.cricbuzz.com%2Flive-cricket-scores%2F32278%2Find-vs-eng-4th-t20i-england-tour-of-india-2021,178,663,6384,1.62E+12,2,1,"h9r,35j,7dx,592,lo4,5o2,gau,75y,k8l,2ve,k8p,8kv,30b,8k9,2vk,58k,8gw,2vl,l85,ovr,ovt,nr2,40n,761,o28,9nj,ibs",16,196058,129639,10314,1817,202038,2,264496,136127,144,10,3201,1.62E+12,1.62E+12,199452,1,348011,348024,,,,,,,348010,,,,,,,,,TRUE
75694,cd92087a-54b0-4911-bc3d-1144a3c2babd-1sjlg,1.62E+12,061edef6-3d9d-408b-884a-ad840e6930ce-10o78,321554,21,"8gw,o3b",2.79,144,XXX.XXX.XXX.XXX,5488088,49504160,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2FApplyJobs.html,34,4144,6384,1.62E+12,2,1,"7dn,oy7,nqo,41j,2ws,lo4,oos,oou,apc,5o2,o6b,oxf,o6d,oxe,o6j,o6l,30b,aty,58k,8gw,oxr,qz1,k89,oxz,761,on4,9nj,58x,5vz,6hp,o3b,6hs,35g,59j,oul,omf,oun,l32,out,2w7,5cc,p1u,43y,75y,k8i,hhg,ozs,ovr,ovt,o20,5ps,ibv",16,196058,129639,0,1812,202038,2,264503,172725,144,10,2821,1.62E+12,1.62E+12,199452,1,348011,348027,,,,,,128491,,,,,,,,,,TRUE
75694,f79f3de7-5edb-4319-9549-117f47996066-10wrk,1.62E+12,0a937239-9091-4bb7-b26b-37d4bb29e50b-10oa0,321300,38,"8gw,o3b",2.79,144,XXX.XXX.XXX.XXX,5488088,49504155,1,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2Fjob-search.html,34,4140,6384,1.62E+12,2,1,"p1b,7dn,6hs,jyq,35g,h98,oul,nqo,2ws,lo4,p12,2w7,o1v,5cc,p1u,o1x,5o2,o6b,43y,75y,oxf,oxe,k8i,ove,ovh,o6j,qxi,30b,58k,8gw,ozs,ovr,o20,ovt,ozw,761,9nj,6hp,o3b",16,196058,129639,10300,1815,202038,2,264496,136127,144,10,3144,1.62E+12,1.62E+12,199452,1,348011,348023,,,,,,"232,809,333,496",348007,,,,,,,,,TRUE
30431,01fd1a8a-c3f8-4b57-94ff-66318d0f63c7-1sjts,1.62E+12,0d46d0d4-8fc6-4d95-aaa1-406354a8400c-1sjo8,355768,21,,,144,XXX.XXX.XXX.XXX,5614054,53607445,1,1,,3296,,3370,1.62E+12,2,1,"761,75y",17,129311,129408,0,1818,0,2,264496,136127,144,10,42597,1.62E+12,1.62E+12,360833,1,348011,348025,,,,,,,,,,1,275,1,,,,TRUE
75694,4c98f114-c34c-48f4-84d6-50fc8e9b6d65-10wgg,1.62E+12,f84d83b9-b757-4f97-9813-34f8dcc57cc5-1sjfw,129239,38,"8kv,2vk,8gw,2vl",2.79,144,XXX.XXX.XXX.XXX,5488773,49504157,1,15240,https%3A%2F%2Fwww.cricbuzz.com%2Flive-cricket-scores%2F32278%2Find-vs-eng-4th-t20i-england-tour-of-india-2021,178,663,6384,1.62E+12,2,1,"h9r,35j,omf,l32,7dx,592,lo4,oos,p1u,5o2,gau,o6b,75y,k8l,2ve,k8p,8kv,30b,8k9,2vk,58k,8gw,2vl,l85,ovr,ovt,nr2,40n,761,o28,9nj,ibs",16,196058,129639,10314,1817,202038,2,264496,136127,144,10,1237,1.62E+12,1.62E+12,199452,1,348011,348024,,,,,,,348010,,,,,,,,,TRUE
75694,10a967f6-c991-4f33-a212-9b42c8a60126-10w2k,1.62E+12,0fe0e58a-4e84-43f7-97e5-703201ba01fe-1sk24,321300,38,"8gw,o3b",3.1,144,XXX.XXX.XXX.XXX,5488088,49504155,2,2320,https%3A%2F%2Fwww.timesjobs.com%2Fcandidate%2Fjob-search.html,34,4140,6384,1.62E+12,2,1,"7dn,35g,k1m,nqo,2ws,lo4,jzc,2w7,5cc,p1u,5o2,43y,o6b,75y,k8i,lla,p0e,30b,58k,8gw,ozs,o20,761,9nj,o3b",16,196058,129639,439,1815,202038,2,264494,136127,144,10,2632,1.62E+12,1.62E+12,199452,1,348011,348023,,,,,,,348007,,,,,,,,,TRUE
75694,6ad61f5f-bf5a-445d-a314-930e94e47fbc-1sjfw,1.62E+12,f6a9c4e0-8c85-49ce-af8d-d0c6b7288da2-h0hg,355900,39,"2vk,8gw,job",3.1,144,XXX.XXX.XXX.XXX,5488773,49504155,1,2308,https%3A%2F%2Feconomictimes.indiatimes.com%2Fhindi%2Fnews%2Fwhat-is-coronavirus-why-china-is-so-fearful%2Farticleshow%2F73545570.cms,4,5451,6384,1.62E+12,2,1,"kmc,hkf,2wl,kmj,5bz,kmn,lo4,357,apc,p1x,5o2,gau,75y,k8j,oxe,o6f,k8l,o2a,o6j,30b,aty,2vk,58k,8gw,k89,761,9nj,58x,ibp,446,5ps,5vy,5vz,id3,job",16,196063,129639,0,2571,202038,2,264502,150208,144,10,5931,1.62E+12,1.62E+12,199414,1,348011,348024,,,,,,,,"333,493,333,494,128,000",,,,,,,,TRUE
82122,59582f67-7cd3-4748-82d4-15928b166533-6mc0,1.62E+12,f6885674-956c-485d-8009-68c10b1e39e4-10ocs,233531,21,8gw,1,145,XXX.XXX.XXX.XXX,5526656,47164455,2,2658,https%3A%2F%2Ftimesofindia.indiatimes.com%2Fworld,3,2946,8628,1.62E+12,2,1,"o6k,30b,oof,58k,8gw,5bz,lo4,or6,9nj,446,qq6,5o2,5vy,id3,o6a",16,196061,0,0,2442,0,2,264494,265618,145,10,14810,1.62E+12,1.62E+12,0,1,348012,,,,,,,,,"333,734,128,527,333,000",,,,,,,,TRUE
75694,224654bd-4798-4e62-8c15-72b4ba6cc379-10ol4,1.62E+12,f656acb7-8d86-4695-9ffe-0d3da73517b8-10ol4,356952,18,,3.1,144,XXX.XXX.XXX.XXX,5488088,49504160,1,85030,https%3A%2F%2Fwww.olx.in%2F,3290,5167,6384,1.62E+12,2,1,"hkf,9nj,5xq",16,196058,129639,439,1815,202038,2,264496,280429,144,10,8901,1.62E+12,1.62E+12,199452,1,348011,348023,,,,,,,348007,,,,,,,,,TRUE
